#,Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
2540,MOZAH HAMOUD ALMASOUDI HOTEL,فندق موزه حمود المسعودي الفندقية,Makkah,10012213,Unclassified/Other,Active,297357
2541,Future Lighting International Travel and Tourism C,شركة انارة المستقبل العالمية للسفر و السياحة,Makkah,10012212,1-Star,Active,295696
2542,nusk almasrah altijariyah qabidah Company,شركة نسك المسرة التجارية قابضة,Makkah,10012211,Unclassified/Other,Active,295916
2543,alasdiqa almasiat litashghil alfanadiq,شركة الأصدقاء الماسية لتشغيل الفنادق شخص واحد,Madina,10010858,1-Star,Active,288215
2544,MARINA ALDAHABI HOTEL,شركة مارينا الذهبي للخدمات الفندقية شخص واحد,Madina,10010857,1-Star,Active,271662
2545,AFAQ ALSUD HOTEL,فندق افاق السد الفندقية,Makkah,10010854,1-Star,Active,287618
2546,Zaki Ishaq Bivari Category,مؤسسة زكى اسحاق بيغارى,Makkah,10012013,Unclassified/Other,Active,294195
2547,Unwan alkhayrat Establishment,مؤسسة عنوان الخيرات,Makkah,10012012,Unclassified/Other,Active,293969
2548,abdalrahman bin ali bin yasin charitable trust,وقف عبدالرحمن بن علي بن ياسين,Makkah,10012011,Unclassified/Other,Active,293996
2549,Ruya Alandalus Company,شركة رؤيا الأندلس,Madina,10012021,1-Star,Active,295715
2550,MASAD FAZI ALQURASHI Establishment,مؤسسة مسعد بن فازع القرشي,Makkah,10012010,Unclassified/Other,Active,294277
2551,Rehab kalid AnaAlrefaey Est,مؤسسة رحاب بنت خالد ابن حسن عناالرفاعي للتجارة,Makkah,10012009,Unclassified/Other,Active,294136
2552,Sultan Ali Hussein Hazazi Tourist Lodges,مؤسسة سلطان علي حسين هزازي للنزل السياحيه,Makkah,10012008,Unclassified/Other,Active,293968
2553,rimas altaqwa Hotel,فندق ريماس التقوى,Makkah,10011843,Unclassified/Other,Active,293915
2554,makan altamayuz Company Ltd.,شركة مكان التميز المحدودة,Makkah,10011842,Unclassified/Other,Active,293507
2555,MANEA HAMAD ALSAQOOR Establishment For Real Estate,مؤسسة مانع بن حمد الصقور للعقارات,Makkah,10011841,Unclassified/Other,Active,293637
2556,Wagf Abbas Binyaseen Alzamzami,وقف عباس بن أحمد بن عباس بن ياسين الزمزمي,Makkah,10011840,Unclassified/Other,Active,293505
2557,Qubat Najd Saleh Muhammad Al Najidi Establishment,مؤسسة قبة نجد لصاحبهانجيد صالح محمد النجيدي,Makkah,10011839,Unclassified/Other,Active,293735
2558,Shadi Nafadi Establishment,مؤسسة شادي نفادي,Makkah,10011838,Unclassified/Other,Active,293576
2559,masharif alazizyah hotel,فندق مشارف العزيزية للخدمات الفندقية,Makkah,10011837,Unclassified/Other,Active,293999
2560,nuzul ghaym Establishment,مؤسسة نزل غيم,Makkah,10011836,Unclassified/Other,Active,293819
2561,nuzul ghaym Establishment,مؤسسة نزل غيم,Makkah,10011835,Unclassified/Other,Active,293490
2562,SALEH SAHAL ALTHOBITI Hostel For tourist lodges,نزل صالح سهل الثبيتي للنزل السياحيه,Makkah,10011833,Unclassified/Other,Active,293923
2563,nada aljawhara Hotel Hotel,فندق ندى الجوهرة الفندقية,Makkah,10012007,1-Star,Active,295795
2564,SAAD AHMED DEMYATI Establishment For Housing,مؤسسة سعد أحمد دمياطي للاسكان,Makkah,10012006,Unclassified/Other,Active,298855
2565,Princess Sultana bint Abdulaziz Al Saud Charitable,وقف الأميرة سلطانة بنت عبدالعزيز ال سعود الخيري,Makkah,10012005,Unclassified/Other,Active,294737
2566,MASAD FAZI ALQURASHI Establishment,مؤسسة مسعد بن فازع القرشي,Makkah,10012004,Unclassified/Other,Active,294037
2567,Waqf almas agha 1,وقف الماس اغا,Makkah,10012003,Unclassified/Other,Active,293963
2568,siraj alkhamsa Company for Hotel services,شركة سراج الخامسة للخدمات الفندقية,Makkah,10012002,Unclassified/Other,Active,294375
2569,Rahab Al Baraka Limited Company,شركة رحاب البركة المحدودة,Makkah,10012001,Unclassified/Other,Active,294515
2570,alajyal  For Cars,معرض الاجيال للسيارات,Makkah,10012000,Unclassified/Other,Active,293966
2571,tasahil almashair Establishment,مؤسسة تساهيل المشاعر,Makkah,10011999,Unclassified/Other,Active,295615
2572,rihlat julan Company sharikat shakhs wahid,شركة رحلات جولان شركة شخص واحد,Makkah,10011998,Unclassified/Other,Active,293965
2573,RAYAN RAJEH ALKABKABI Hostel For Tourist,نزل ريان راجح الكبكبي للايواء السياحي,Makkah,10012210,Unclassified/Other,Active,296037
2574,Office For Real Estate Services,مكتب فليح بن رويحى بن عتيق الله السلمى للخدمات العقارية,Makkah,10012209,Unclassified/Other,Active,295996
2575,Naeema Khal Muhammad Muhammad Othman Bukhari Tradi,مؤسسة نعيمه خال محمد محمدعثمان بخاري للتجارة,Makkah,10012208,Unclassified/Other,Active,295955
2576,Company To operate hotels,شركة اوتاد المتحدة لتشغيل الفنادق,Makkah,10012207,1-Star,Active,296015
2577,Ali Mohammed Abdullah Al Rajhi Endowment Foundatio,مؤسسة علي محمد عبدالله الراجحي الوقفية الأولى,Makkah,10012206,Unclassified/Other,Active,297335
2578,SAFAR DAKHAL ALOTAIBI Establishment,مؤسسة سفر بن داخل العتيبي,Makkah,10012205,Unclassified/Other,Active,297475
2579,abdalmuttalib ibrahim fahgh aljawiy alwaqfiyah cha,وقف عبدالمطلب ابراهيم فهغ الجاوي الوقفية,Makkah,10012204,Unclassified/Other,Active,295415
2580,Ajnihat Alkhaleej Company Hotel,شركة أجنحة الخليج الفندقية,Makkah,10012244,Unclassified/Other,Active,296795
2581,saleh qashlan est,مؤسسة صالح حمزه قشلان,Makkah,10012243,Unclassified/Other,Active,297176
2582,Funduq Manazil AlFath Group Hotel,مجموعة فندق منازل الفتح الفندقية,Makkah,10012242,Unclassified/Other,Active,296915
2583,alayniah hotel,فندق العينية الفندقية,Madina,10005772,Unclassified/Other,Active,288195
2584,AJYAD ALQMMA HOTEL,فندق اجياد القمة الفندقية,Makkah,10010911,1-Star,Active,288575
2585,ALBARON GOLDEN COMPANY,شركة إل بارون إل زهبي,Makkah,10010910,1-Star,Active,289075
2586,SALEH ABED ALQURASHI Hostel For tourist lodges,نزل صالح ابن عابد القرشى للنزل السياحيه,Makkah,10011706,Unclassified/Other,Active,293356
2587,Qubat Najd  Saleh Muhammad Al Najidi Establishment,مؤسسة قبة نجد لصاحبهانجيد صالح محمد النجيدي,Makkah,10011705,Unclassified/Other,Active,293015
2588,Rima alyasmin Hostel,نزل ريما الياسمين,Makkah,10011704,Unclassified/Other,Active,292584
2589,nuzul aljawhara Establishment,مؤسسة نزل الجوهرة,Makkah,10011703,Unclassified/Other,Active,293502
2590,Nasim alafidah Hotel,فندق نسيم الأفئدة,Makkah,10011702,Unclassified/Other,Active,300458
2591,NORAH MASAD ALLAHYANI Hostel For tourist lodges,نزل نوره مسعد اللحيانى للنزل السياحيه,Makkah,10011700,Unclassified/Other,Active,293897
2592,Kanana Alaziziya Hotel for Hotel services,فندق كنانة العزيزية للخدمات الفندقية,Makkah,10011699,Unclassified/Other,Active,293137
2593,Muzan alaziziya Hostel,نزل مزن العزيزية,Makkah,10012059,Unclassified/Other,Active,294322
2594,Abdul Latif Bin Abdul Wahab Bin Abdul Razzaq Al-Ha,مؤسسة عبداللطيف بن عبدالوهاب بن عبدالرزاق الحماد لخدمات الحجاج,Makkah,10012057,Unclassified/Other,Active,294273
2595,MOHAMMED HAMED ALOTAIBI Establishment For,مؤسسة محمد حامد العتيبي للخدمات التجارية,Makkah,10012056,1-Star,Active,298115
2596,albahry company,شركة البحري العالمية التجارية,Makkah,10012055,Unclassified/Other,Active,294267
2597,WISAM AL MISK HOTEL,شركة وسام المسك الفندقية,Madina,10012054,1-Star,Active,294216
2598,saleh hamzah qashlan est,مؤسسة صالح حمزه قشلان,Makkah,10012053,Unclassified/Other,Active,296495
2599,saleh hamzah qashlan est,مؤسسة صالح حمزه قشلان,Makkah,10012052,Unclassified/Other,Active,296036
2600,Dal Establishment For Trading,مؤسسة دال للتجارة,Makkah,10012050,Unclassified/Other,Active,294135
2601,Durrat Al Mawasem Serviced Apartments,مؤسسة درة المواسم للشقق المخدومة,Makkah,10012049,Unclassified/Other,Active,294615
2602,Muwaffaq Abdulhai Muhammad Amira General Contracti,مؤسسة موفق بن عبدالحى بن محمد عميره للمقاولات العامة,Makkah,10012048,Unclassified/Other,Active,294258
2603,abna omar said abood bafel Company Ltd.,شركة أبناء عمر سعيد عبود بافيل المحدودة,Makkah,10011997,Unclassified/Other,Active,293924
2604,Mashhoor AlJazeera Establishment Commercial,مؤسسة مشهور الجزيرة التجارية,Makkah,10011996,1-Star,Active,298456
2605,abzar Establishment Commercial,مؤسسة أبزار التجارية,Makkah,10011995,Unclassified/Other,Active,293938
2606,sheikha abed alqurashi foundation,مؤسسة شيخه عابد بن عبدربه القرشي للمقاولات,Makkah,10011993,Unclassified/Other,Active,294321
2607,makhayyam rafadah Company Ltd,شركة مخيم رفادة المحدودة شركة شخص واحد,Makkah,10011992,Unclassified/Other,Active,293943
2608,alLuban charitable trust,وقف اللبان,Makkah,10011989,Unclassified/Other,Active,293887
2609,Rafadat Makkah Hotel,فندق رفادة مكة,Makkah,10011991,Unclassified/Other,Active,293957
2610,jarat almashaaer Establishment,مؤسسة جارة المشاعر,Makkah,10011987,Unclassified/Other,Active,294595
2611,Darb Almutamir Hotel Hotel,فندق درب المعتمر الفندقية,Makkah,10011986,Unclassified/Other,Active,296756
2612,MUSTFA SALEM BAKHAZLAQ Establishment,مؤسسة مصطفى سالم باخدلق,Makkah,10011985,Unclassified/Other,Active,294255
2613,DUR ALTAMAYZ,مكتب دور التميز العقاري,Makkah,10012240,Unclassified/Other,Active,296835
2614,anaqid aljuri Hostel,نزل عناقيد الجوري,Makkah,10012238,Unclassified/Other,Active,298835
2615,SAAD AHMED DEMYATI Establishment For Housing,مؤسسة سعد أحمد دمياطي للاسكان,Makkah,10012237,Unclassified/Other,Active,297575
