Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Mead Al Majd Hotel,فندق ميعاد المجد الفندقية,Makkah,10002277,Unclassified/Other,Active,246584
Safwat Al Bait Hotel,فندق صفوة البيت الفندقية,Makkah,10002869,1-Star,Active,241155
Maghreb Hotel,فندق المغاربي للشقق الفندقية,Madinah,10001433,2-Star,Active,242930
HOTEL THREE POINT ALKAWTHER,فندق ثلاثة نقاط الكوثر,Madinah,10001761,Unclassified/Other,Active,235880
Qasr AlsharqTower Hotel Services Company,شركة برج قصر الشرق للخدمات الفندقيه,Makkah,10002036,Unclassified/Other,Active,291035
Nebras Alhuda,شركة نبراس الهدي للسفر و السياحة شخص واحد,Makkah,10001042,Unclassified/Other,Active,271695
Four Points by Sheraton Hotel,فندق فور بوينتس باي شيراتون الفندقية,Makkah,10000643,4-Star,Active,212529
DAR UMM ALQURA  GOLDEN,فندق دار أم القرى الذهبي الفندقية,Makkah,10001087,1-Star,Active,230013
BOSPHORUS HOTELS,فندق البسفور(1),Madinah,10001335,3-Star,Active,235826
Zamzam Pullman Makkah Hotel,فندق زمزم بولمان مكة,Makkah,10001442,4-Star,Active,211654
Zahra Al Saad Arbaa Hotel Hotel Establishment,مؤسسة فندق زهرة السعد اربعة الفندقية,Makkah,10002087,1-Star,Active,294035
funduq luluat almadina Company Hotel,شركة فندق لؤلؤة المدينة الفندقية,Madinah,10002268,1-Star,Active,289275
Ajyad Hotel Services Company,شركة اجياد للخدمات الفندقية,Makkah,10002536,3-Star,Active,218151
Burj Al Fouad Hotel,فندق برج الفؤاد الفندقية,Makkah,10002543,1-Star,Active,220073
HUDA TAIBAH HOTEL,فندق هدى طيبة الفندقية,Madinah,10001640,Unclassified/Other,Active,287452
HOTEL AL-ANDALUS AL-MASI,فندق الاندلس الماسي,Madinah,10001907,Unclassified/Other,Active,235830
Rabwat Al Safwa Golden Hotel Services Company,شركة ربوة الصفوة الذهبي للخدمات الفندقيه,Madinah,10002152,1-Star,Active,225006
PALESTINE HOTEL,فندق فلسطين الفندقية,Makkah,10001899,3-Star,Active,46638
Biab Al-Azizia Hotel Company,شركة بياب العزيزية الفندقية,Makkah,10001309,Unclassified/Other,Active,220784
Makarem Al-Bayt Hotel,فندق مكارم البيت,Makkah,10001301,4-Star,Active,210148
Makarim Zubaydah Hotel,فندق مكارم زبيدة الفندقية,Makkah,10001727,1-Star,Active,250258
Maden Al Rawda Hotel,شركة مادن الروضة للخدمات الفندقيه,Madinah,10001362,Unclassified/Other,Active,254955
Safwat Al Khair Al Mahbas Hotel Foundation,مؤسسة فندق صفوة الخير المحبس الفندقية,Makkah,10002013,1-Star,Active,250240
AMLAQ ALMSHRQ HOTEL,شركة عملاق المشرق التجارية,Makkah,10001864,2-Star,Active,222057
artal taibah hotel,فندق ارتال طيبة,Madinah,10000526,1-Star,Active,235883
Janadriyah Towers Hotel,فندق أبراج الجنادرية الفندقية,Makkah,10001998,1-Star,Active,253961
aboaljoud,فندق حياة الذهبي الفندقية,Madinah,10001333,Unclassified/Other,Active,286801
