Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Company Diyar wahat alnazzil Hotel,شركة ديار واحة النزيل للخدمات الفندقيه,Madinah,10008963,1-Star,Active,239155
ALSHAHBA,الشهباء,Madinah,10009098,1-Star,Active,235833
Muna Alsalaam,المنى السلام,Madinah,10008959,1-Star,Active,235892
AJENHA ALFIA ALMADINAH,أجنحة ألفيه المدينة,Madinah,10008347,1-Star,Active,235872
ZAHA ALMADINA HOTEL,فندق زها المدينة,Madinah,10008033,1-Star,Active,235795
PROVINCE ALSHAM HOTEL,فندق الشام الاقليمية,Madinah,10008032,1-Star,Active,230422
ASTONEAST TAIBA HOTEL,فندق اسنونيست طيبة,Madinah,10008030,1-Star,Active,244175
Al Mokhtara Tower Hotel,شركة فندق برج المختاره الفندقية,Madinah,10010297,1-Star,Active,224932
Shaza Al Hijra Hotel Establishment for Tourism Hos,مؤسسة فندق شذا الهجرة للضيافة السياحي,Madinah,10010580,Unclassified/Other,Active,221993
HELLA TAYBA hotel,فندق هلا طيبة الفندقية,Madinah,10010290,1-Star,Active,287977
Lujain Al Dhahabi Company Ltd.,شركة لجين الذهبي المحدودة,Madinah,10011175,1-Star,Active,289936
alsafa albaraka Company Ltd.,شركة الصفا البركة المحدودة,Madinah,10011192,1-Star,Active,289995
Wisam Al Madinah Company for hotels managemnets,شركة وسام المدينة لتشغيل الفنادق شركة شخص واحد,Madinah,10011186,1-Star,Active,290015
Hotel Zahrat sita,فندق زهرة ستة,Madinah,10009514,1-Star,Active,230693
Hotel Dorra EL Manabar,فندق درة المنابر الفندقية,Madinah,10009379,1-Star,Active,301495
Anwar Albaraka Hotel,فندق انوار البركة الفندقية,Madinah,10009502,1-Star,Active,244215
Diyar Alnoor Motel,نزل ديار النور للضيافة السياحي,Madinah,10009496,Unclassified/Other,Active,232437
Rowdah Almokhtara hotel,فندق روضة المختارة,Madinah,10008858,1-Star,Active,231387
Diyafat Almokhtara hotel,فندق شركة ضيافة المختارة للخدمات الفندقيه,Madinah,10008854,1-Star,Active,234559
Hotel AL-RAYYAN FADI For Hotel Services,فندق الريان الفضي للخدمات الفندقيه,Madinah,10008853,1-Star,Active,227385
Kayan International Hotel,شركة كيان العالمي للخدمات الفندقيه,Madinah,10008851,1-Star,Active,227043
Taibah hills company,شركة طيبة هيلز,Madinah,10008845,1-Star,Active,225066
"""Sedra International Hotel and Hospitality Service",شركة فندق سدرة العالمي للخدمات الفندقيه,Madinah,10010287,1-Star,Active,223391
Funduq Surur Taib Aldhahabiat Alfunduqiafunduq,شركة فندق سرور طيبة الذهبية الفندقية,Madinah,10010559,1-Star,Active,244535
Rahaba Al Bait Hotel Company,شركة رحابة البيت الفندقية,Madinah,10010280,1-Star,Active,254456
Manazel Alsafiyah Hotel,شركة منازل الصافية لتشغيل الفنادق,Madinah,10010275,1-Star,Active,239515
jawharat alkarawan,مؤسسة جوهرة الكروان للشقق المخدومة,Madinah,10010577,Code 27,Active,298255
Marjan Rose Hotel Company One Person,شركة مرجان روز الفندقية شخص واحد,Madinah,10009769,1-Star,Active,239368
DEEM ALMADINAH HOTEL,شركة ديم المدينة الفندقية,Madinah,10009600,1-Star,Active,244635
Zahrat Three Hotel,فندق زهرة ثلاثة,Madinah,10009753,1-Star,Active,228562
Durrat Balensia Hotel,فندق درة بلنسية الفندقية,Madinah,10006704,1-Star,Active,254815
Grand Plaza Badr Al Maqam,جراند بلازا بدر المقام,Madinah,10007247,2-Star,Active,221922
Jawharat Ohod Hotels,شركة جوهرة أحد الفندقية,Madinah,10011064,Unclassified/Other,Active,300755
Manazil Qurban Hotel For Hotel Apartments,فندق منازل قربان للشقق الفندقية,Madinah,10011240,1-Star,Active,290395
Kunuz AlTaqwa Hotel Hotel,فندق كنوز التقوي الفندقية,Madinah,10011238,1-Star,Active,290275
Luluat Saltanah Hostel For Tourist Lodges,نزل لؤلؤة سلطانة للنزل السياحية,Madinah,10011527,Unclassified/Other,Active,291856
Durat Tabah Hotel,درة طابة الفندقية,Madinah,10008841,Unclassified/Other,Active,235917
Durrat AlIman Hotel Company,شركة درة الإيمان الفندقية,Madinah,10008838,1-Star,Active,230873
MERCAN MEDINE Golden  Hotel,فندق مرجان المدينة الذهبي,Madinah,10008837,1-Star,Active,235882
tamkeen hotel company,شركة فندق تمكين الفندقية شركة شخص واحد,Madinah,10008006,1-Star,Active,271661
Wrdt Alrayan Hotel,وردة الريان,Madinah,10008206,1-Star,Active,235783
Gulnar Taiba hotel,فندق جلنار طيبة,Madinah,10008193,1-Star,Active,235898
Saraya Harmony Hotel B,فندق سراياهارموني(ب),Madinah,10008191,1-Star,Active,235753
Kinan Almadina,كنان المدينة,Madinah,10008188,1-Star,Active,235741
Jiwar Almadina Hotel,فندق جوار المدينة الفندقية,Madinah,10007240,1-Star,Active,227663
MANAZIL ALOUROBA FOR FUMISHED,شقق منازل العروبة للشقق المخدومة,Madinah,10007232,2-Star,Active,271575
park plus serviced APARTMENT,شقق بارك بلس للشقق المخدومة,Madinah,10007269,2-Star,Active,259460
nusuk hotel campany,شركة نسك الهجرة للخدمات الفندقيه,Madinah,10006600,2-Star,Active,235773
zaha taiba hotel,فندق زها طيبة الفندقية,Madinah,10006193,1-Star,Active,235808
Emaar Taibah,فندق اعمار طيبة الفندقية,Madinah,10006586,1-Star,Active,235840
The Biltmore Almadinah Hotel,فندق ذا بيلتمور المدينة,Madinah,10007189,Unclassified/Other,Active,235740
Maien Taiba,معين طيبة الفندقية,Madinah,10007188,1-Star,Active,235780
alsahabat Hotel Establishment,فندق السحابات الفندقية,Madinah,10007176,1-Star,Active,271440
AL MANAZEL WADIYAR AL MADINAH HOTEL,فندق المنازل وديار المدينة الفندقية,Madinah,10007174,1-Star,Active,222930
