Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Rukn ilaf Quba Serviced Apartment Est,مؤسسة شقق ركن إيلاف قباء المخدومة,Madinah,10010946,Unclassified/Other,Active,287875
Rose Holiday (2),شركة روز هوليداي للضيافة السياحي,Madinah,10011221,1-Star,Active,292346
alAjyal ithnan Hostel For tourist lodges,نزل الأجيال اثنان للنزل السياحيه,Madinah,10011217,Unclassified/Other,Active,290075
maskan shahad Hostel For tourist lodges,نزل مسكن شهد للنزل السياحيه,Madinah,10011465,Unclassified/Other,Active,292590
majd taybah aldhahabi Hotel For Hotel Apartments,فندق مجد طيبة الذهبي للشقق الفندقية,Madinah,10011095,2-Star,Active,289575
Wafud Hotel For Hotel Services Establishment,مؤسسة فندق وفود للخدمات الفندقيه,Madinah,10011314,1-Star,Active,292676
FAJR AL MUDN HOTEL,فندق فجر المدن,Madinah,10012982,1-Star,Active,302016
AlRihab AlSafi Hostel For Tourist Accommodation,نزل الرحاب الصافي للايواء السياحي,Madinah,10012980,Unclassified/Other,Active,302275
DIYAR ALAWS HOTEL,شركة ديار الاوس لتشغيل الفنادق,Madinah,10010807,1-Star,Active,268330
Diamond Lotus,شركة اللوتس الماسية,Madinah,10010978,Code 27,Active,300915
Roaya Alandalus,شركة رؤيا الأندلس لتشغيل الفنادق,Madinah,10010703,1-Star,Active,259958
sbal almasi Company,شركة سبال الماسي,Madinah,10011070,1-Star,Active,293889
HOTEL HAMUDAH ALMASI,فندق حمودة الماسي,Madinah,10011069,1-Star,Active,289257
Aaliyah AlDawadiyah Hotel Hotel,فندق عالية الدوادية الفندقية,Madinah,10011198,1-Star,Active,290095
TAJ WARD HOTEL Company,شركة فندق تاج ورد الفندقية,Madinah,10010892,1-Star,Active,271895
AlSafir AlSakani Establishment For tourist lodges,مؤسسة السفير السكني للنزل السياحيه,Madinah,10011953,Unclassified/Other,Active,293875
Wadiyar Al Madinah Travel and Tourism Company is o,شركة وديار المدينة للسفر والسياحة شخص واحد,Madinah,10010736,1-Star,Active,256435
Company rahat alubur,شركة راحه العبور,Madinah,10011127,1-Star,Active,289640
Establishment Bayat AlMadina,مؤسسة بيات المدينة,Madinah,10011171,2-Star,Active,290415
Alfakhama Aldahabi Hotel Company,شركة الفخامة الذهبي الفندقية,Madinah,10010770,1-Star,Active,259143
